"citizen_dr" "merch_dr" "peasants_dr"
"потому" 0.18272587855255 0.0847359425244068 0.089634419617133
"куда" 0.0619962802231866 0.111532779049219 0.0704270439848902
"того" 0.00652592423401964 0.0927025695993511 0.20807990268263
"моя" 0.0848370150422554 0.0869086589993916 0.150457775785902
"градобоев" 0 0.139053854399027 0
"молчанов" 0 0.139053854399027 0
"такое" 0.0652592423401964 0.110808540224224 0.0608233561687688
"много" 0.153359219499462 0.0803905095744373 0.0960368781612139
"жмигулина" 0 0.133259943799067 0
"митя" 0 0.128914510849098 0
"ней" 0.0652592423401964 0.0890813754743764 0.112043024521416
"бессудный" 0 0.128190272024103 0
"ним" 0.0783110908082357 0.0898056142993714 0.089634419617133
"авдотья" 0.091362939276275 0.10429039079927 0
"братец" 0.114203674095344 0.093426808424346 0.0256098341763237
"катерина" 0 0.124569077899128 0
"о" 0.0195777727020589 0.0898056142993714 0.131250400153659
"был" 0.091362939276275 0.0760450766244677 0.118445483065497
"любовь" 0.00978888635102946 0.118050928474174 0.0128049170881619
"опять" 0.143570333148432 0.0782177930994525 0.0576221268967283
"какая" 0.0391555454041179 0.0919783307743561 0.0960368781612139
"во" 0.0619962802231866 0.0847359425244068 0.102439336705295
"бабаев" 0 0.120947883774153 0
"гаврило" 0 0.120223644949158 0
"данила" 0.535125787189611 0 0.00640245854408093
"вася" 0 0.118775167299169 0
"ваше" 0.156622181616471 0.0499724789246502 0.147256546513861
"матушка" 0.225144386073678 0.0528694342246299 0.0672258147128497
"ананий" 0 0 0.518599142070555
"большов" 0 0.117326689649179 0
"знаешь" 0.0685222044572062 0.0840117036994119 0.0736282732569307
"теперича" 0.238196234541717 0.0362119412497465 0.118445483065497
"аннушка" 0.00652592423401964 0.113705495524204 0
"входит" 0.0652592423401964 0.093426808424346 0.0288110634483642
"себе" 0.0489444317551473 0.0876328978243866 0.0704270439848902
"поди" 0.0293666590530884 0.0825632260494221 0.108841795249376
"совсем" 0.0489444317551473 0.0818389872244271 0.0928356488891734
"ивановна" 0.0619962802231866 0.0362119412497465 0.27850694666752
"марина" 0 0.112981256699209 0
"силан" 0 0.112257017874214 0
"господи" 0.127255522563383 0.0477997624496654 0.156860234329983
"об" 0.0685222044572062 0.0854601813494018 0.0448172098085665
"параша" 0.00652592423401964 0.109360062574234 0
"аграфена" 0 0.110084301399229 0
"барин" 0.0326296211700982 0.0702511660245082 0.144055317241821
"кондратьевна" 0 0.110084301399229 0
"наумовна" 0 0.110084301399229 0
"устинья" 0 0.110084301399229 0
"кого" 0.0619962802231866 0.0869086589993916 0.0384147512644856
"нее" 0.0228407348190688 0.0782177930994525 0.112043024521416
"такой" 0.091362939276275 0.0825632260494221 0.0256098341763237
"хорошо" 0.0783110908082357 0.0803905095744373 0.048018439080607
"была" 0.0848370150422554 0.0695269271995133 0.0864331903450925
"евгения" 0 0.107911584924245 0
"русаков" 0 0.107911584924245 0
"больше" 0.055470355989167 0.0745965989744778 0.0864331903450925
"яковлев" 0.00326296211700982 0 0.464178244445867
"люди" 0.0293666590530884 0.0847359425244068 0.0608233561687688
"арина" 0.00652592423401964 0.10284191314928 0
"знает" 0.0783110908082357 0.0651814942495437 0.0960368781612139
"николай" 0.0228407348190688 0 0.438568410269544
"один" 0.0685222044572062 0.0738723601494829 0.0672258147128497
"карпыч" 0 0.103566151974275 0
"могу" 0.0750481286912259 0.0745965989744778 0.0544208976246879
"под" 0.0717851665742161 0.072423882499493 0.0672258147128497
"максимовна" 0 0.10284191314928 0
"сердце" 0.0261036969360786 0.0709754048495032 0.105640565977335
"спиридоныч" 0 0 0.444970868813624
"сказать" 0.0489444317551473 0.0774935542744575 0.0512196683526474
"говорят" 0.0587333181061768 0.0745965989744778 0.0512196683526474
"жить" 0.0489444317551473 0.0796662707494423 0.0384147512644856
"борис" 0 0.0984964801993105 0
"дробадонов" 0 0.0984964801993105 0
"зачем" 0.055470355989167 0.0796662707494423 0.0288110634483642
"аристарх" 0.0456814696381375 0.0876328978243866 0
"варвара" 0 0.0977722413743156 0
"ко" 0.0685222044572062 0.0579391059995944 0.108841795249376
"минутка" 0 0.0977722413743156 0
"анна" 0.0424185075211277 0.0854601813494018 0.00960368781612139
"краснов" 0 0.0970480025493207 0
"можно" 0.0848370150422554 0.0716996436744981 0.0288110634483642
"сюда" 0.0391555454041179 0.0659057330745387 0.0992381074332544
"вон" 0.0946259013932848 0.0535936730496248 0.0928356488891734
"деньги" 0.0848370150422554 0.0716996436744981 0.0224086049042832
"нужно" 0.0522073938721571 0.0774935542744575 0.0256098341763237
"разве" 0.0522073938721571 0.0695269271995133 0.0608233561687688
"нельзя" 0.0783110908082357 0.0709754048495032 0.0256098341763237
"но" 0.00978888635102946 0.0753208377994728 0.0736282732569307
"брат" 0.0489444317551473 0.0709754048495032 0.0512196683526474
"хочу" 0.035892583287108 0.0745965989744778 0.0448172098085665
"точно" 0.035892583287108 0.0709754048495032 0.0544208976246879
"батюшка" 0.153359219499462 0.0304180306497871 0.115244253793457
"бородкин" 0 0.0905298531243663 0
"говорить" 0.101151825627304 0.0535936730496248 0.0640245854408093
"ежели" 0.238196234541717 0.0275210753498074 0.0448172098085665
"раз" 0.120729598329363 0.0557663895246096 0.0352135219924451
"акулина" 0.0391555454041179 0 0.358537678468532
"им" 0.0717851665742161 0.0593875836495843 0.0640245854408093
"полно" 0.035892583287108 0.0383846577247313 0.192073756322428
"сама" 0.0456814696381375 0.0680784495495235 0.0512196683526474
"голову" 0.0456814696381375 0.0557663895246096 0.102439336705295
"делать" 0.0293666590530884 0.0659057330745387 0.0704270439848902
"или" 0.00978888635102946 0.0796662707494423 0.0288110634483642
"при" 0.0489444317551473 0.0557663895246096 0.0960368781612139
"вихорев" 0 0.0876328978243866 0
"егоровна" 0 0.0876328978243866 0
"если" 0.035892583287108 0.0738723601494829 0.0256098341763237
